run,step,side,T,J,seed,e_per_spin,m_per_spin,window,e_roll_avg,m_roll_avg,w_samples
1,206,10,1.5,1.0,11,-0.256,-0.002,200,-0.11288,0.00753,200
1,207,10,1.5,1.0,11,-0.256,-0.002,200,-0.11426,0.00744,200
1,208,10,1.5,1.0,11,-0.256,-0.002,200,-0.1156,0.00734,200
1,209,10,1.5,1.0,11,-0.256,0.0,200,-0.11694,0.00726,200
1,210,10,1.5,1.0,11,-0.252,-0.002,200,-0.11826,0.00718,200
1,211,10,1.5,1.0,11,-0.252,-0.002,200,-0.1196,0.00711,200
1,212,10,1.5,1.0,11,-0.252,0.0,200,-0.12094,0.00705,200
1,213,10,1.5,1.0,11,-0.248,0.002,200,-0.12226,0.007,200
1,214,10,1.5,1.0,11,-0.248,0.0,200,-0.12358,0.00693,200
1,215,10,1.5,1.0,11,-0.256,0.002,200,-0.12494,0.00688,200
1,216,10,1.5,1.0,11,-0.256,0.0,200,-0.1263,0.00682,200
1,217,10,1.5,1.0,11,-0.256,0.0,200,-0.12766,0.00677,200
1,218,10,1.5,1.0,11,-0.26,0.002,200,-0.12904,0.00673,200
1,219,10,1.5,1.0,11,-0.26,0.002,200,-0.13042,0.00669,200
1,220,10,1.5,1.0,11,-0.26,0.002,200,-0.1318,0.00665,200
1,221,10,1.5,1.0,11,-0.26,0.004,200,-0.13318,0.00662,200
1,222,10,1.5,1.0,11,-0.26,0.004,200,-0.13454,0.00658,200
1,223,10,1.5,1.0,11,-0.272,0.006,200,-0.13596,0.00654,200
1,224,10,1.5,1.0,11,-0.272,0.004,200,-0.13738,0.00649,200
1,225,10,1.5,1.0,11,-0.276,0.002,200,-0.13882,0.00642,200
1,226,10,1.5,1.0,11,-0.276,0.002,200,-0.14026,0.00635,200
1,227,10,1.5,1.0,11,-0.276,0.0,200,-0.1417,0.00626,200
1,228,10,1.5,1.0,11,-0.276,0.002,200,-0.14314,0.00618,200
1,229,10,1.5,1.0,11,-0.276,0.002,200,-0.14454,0.00609,200
1,230,10,1.5,1.0,11,-0.276,0.002,200,-0.14594,0.00599,200
1,231,10,1.5,1.0,11,-0.276,0.002,200,-0.14734,0.0059,200
