run,step,side,T,J,seed,e_per_spin,m_per_spin
1,428,10,1.5,1.0,11,-0.536,0.022
1,429,10,1.5,1.0,11,-0.536,0.022
1,430,10,1.5,1.0,11,-0.536,0.022
1,431,10,1.5,1.0,11,-0.536,0.02
1,432,10,1.5,1.0,11,-0.536,0.018
1,433,10,1.5,1.0,11,-0.544,0.016
1,434,10,1.5,1.0,11,-0.536,0.014
1,435,10,1.5,1.0,11,-0.536,0.012
1,436,10,1.5,1.0,11,-0.536,0.01
1,437,10,1.5,1.0,11,-0.544,0.008
1,438,10,1.5,1.0,11,-0.544,0.008
1,439,10,1.5,1.0,11,-0.544,0.008
1,440,10,1.5,1.0,11,-0.544,0.008
1,441,10,1.5,1.0,11,-0.544,0.008
1,442,10,1.5,1.0,11,-0.548,0.006
1,443,10,1.5,1.0,11,-0.548,0.004
1,444,10,1.5,1.0,11,-0.556,0.002
1,445,10,1.5,1.0,11,-0.556,0.002
1,446,10,1.5,1.0,11,-0.556,0.002
1,447,10,1.5,1.0,11,-0.556,0.002
1,448,10,1.5,1.0,11,-0.556,0.002
1,449,10,1.5,1.0,11,-0.556,0.002
1,450,10,1.5,1.0,11,-0.556,0.002
1,451,10,1.5,1.0,11,-0.56,0.004
1,452,10,1.5,1.0,11,-0.56,0.004
1,453,10,1.5,1.0,11,-0.56,0.004
1,454,10,1.5,1.0,11,-0.56,0.004
1,455,10,1.5,1.0,11,-0.56,0.006
1,456,10,1.5,1.0,11,-0.56,0.006
1,457,10,1.5,1.0,11,-0.564,0.004
1,458,10,1.5,1.0,11,-0.564,0.002
1,459,10,1.5,1.0,11,-0.568,0.0
1,460,10,1.5,1.0,11,-0.576,-0.002
1,461,10,1.5,1.0,11,-0.576,0.0
1,462,10,1.5,1.0,11,-0.576,0.0
1,463,10,1.5,1.0,11,-0.576,0.002
1,464,10,1.5,1.0,11,-0.576,0.0
1,465,10,1.5,1.0,11,-0.58,-0.002
1,466,10,1.5,1.0,11,-0.58,-0.004
1,467,10,1.5,1.0,11,-0.58,-0.004
1,468,10,1.5,1.0,11,-0.584,-0.006
1,469,10,1.5,1.0,11,-0.584,-0.006
1,470,10,1.5,1.0,11,-0.584,-0.006
1,471,10,1.5,1.0,11,-0.584,-0.008
1,472,10,1.5,1.0,11,-0.584,-0.008
1,473,10,1.5,1.0,11,-0.584,-0.006
1,474,10,1.5,1.0,11,-0.584,-0.006
1,475,10,1.5,1.0,11,-0.584,-0.006
1,476,10,1.5,1.0,11,-0.584,-0.006
1,477,10,1.5,1.0,11,-0.588,-0.008
1,478,10,1.5,1.0,11,-0.588,-0.006
1,479,10,1.5,1.0,11,-0.588,-0.006
1,480,10,1.5,1.0,11,-0.588,-0.004
1,481,10,1.5,1.0,11,-0.588,-0.004
1,482,10,1.5,1.0,11,-0.588,-0.004
1,483,10,1.5,1.0,11,-0.588,-0.004
1,484,10,1.5,1.0,11,-0.588,-0.002
1,485,10,1.5,1.0,11,-0.588,-0.002
1,486,10,1.5,1.0,11,-0.592,0.0
1,487,10,1.5,1.0,11,-0.596,-0.002
1,488,10,1.5,1.0,11,-0.596,-0.002
1,489,10,1.5,1.0,11,-0.596,0.0
1,490,10,1.5,1.0,11,-0.604,-0.002
1,491,10,1.5,1.0,11,-0.608,0.0
1,492,10,1.5,1.0,11,-0.608,-0.002
1,493,10,1.5,1.0,11,-0.616,-0.004
1,494,10,1.5,1.0,11,-0.616,-0.004
1,495,10,1.5,1.0,11,-0.62,-0.006
1,496,10,1.5,1.0,11,-0.62,-0.008
1,497,10,1.5,1.0,11,-0.624,-0.01
1,498,10,1.5,1.0,11,-0.624,-0.01
1,499,10,1.5,1.0,11,-0.624,-0.01
1,500,10,1.5,1.0,11,-0.624,-0.012
1,501,10,1.5,1.0,11,-0.624,-0.01
1,502,10,1.5,1.0,11,-0.624,-0.012
1,503,10,1.5,1.0,11,-0.624,-0.012
1,504,10,1.5,1.0,11,-0.624,-0.012
1,505,10,1.5,1.0,11,-0.624,-0.012
1,506,10,1.5,1.0,11,-0.628,-0.014
1,507,10,1.5,1.0,11,-0.628,-0.016
1,508,10,1.5,1.0,11,-0.628,-0.016
